iter	RMSE
0	3630.668858
1	3596.943446
2	3563.473133
3	3530.596639
4	3498.007791
5	3465.689518
6	3433.755184
7	3402.277674
8	3371.13068
9	3340.190596
10	3309.730607
11	3279.403861
12	3249.477317
13	3219.705769
14	3190.282963
15	3161.282964
16	3132.579798
17	3104.195917
18	3076.156832
19	3048.136843
20	3020.824349
21	2993.362527
22	2966.483662
23	2940.065422
24	2913.927532
25	2887.624706
26	2862.071983
27	2836.804039
28	2811.289167
29	2786.376629
30	2761.913159
31	2737.489137
32	2713.397068
33	2689.438325
34	2665.858339
35	2642.575527
36	2619.337128
37	2596.40041
38	2573.691481
39	2551.363813
40	2529.136368
41	2507.526564
42	2485.978921
43	2464.708152
44	2443.831594
45	2423.134829
46	2402.679844
47	2382.470726
48	2361.944786
49	2342.097168
50	2322.336434
51	2302.550476
52	2283.097031
53	2263.742938
54	2244.691325
55	2225.878738
56	2207.261895
57	2188.755066
58	2170.609786
59	2152.812918
60	2134.768131
61	2117.541601
62	2100.413398
63	2083.383688
64	2066.395765
65	2049.737739
66	2033.225878
67	2016.76079
68	2000.69491
69	1985.017856
70	1969.016943
71	1953.365741
72	1937.918012
73	1923.016644
74	1907.835406
75	1892.850314
76	1878.555124
77	1864.063767
78	1849.916481
79	1835.567581
80	1821.29659
81	1807.190089
82	1793.811201
83	1780.074987
84	1767.100413
85	1753.996171
86	1741.015732
87	1728.551046
88	1716.24477
89	1703.80462
90	1691.351693
91	1679.347236
92	1666.920955
93	1654.684223
94	1643.286979
95	1631.840403
96	1620.055037
97	1608.624576
98	1597.312774
99	1586.634906
100	1576.098545
101	1565.025237
102	1554.560043
103	1543.578183
104	1532.994205
105	1522.589275
106	1512.193477
107	1502.15987
108	1492.170544
109	1482.214798
110	1472.647644
111	1463.542443
112	1453.868072
113	1444.367943
114	1435.148306
115	1425.887253
116	1416.902457
117	1408.363461
118	1399.891488
119	1391.321661
120	1382.94338
121	1374.563148
122	1366.502297
123	1358.30562
124	1350.208013
125	1342.382416
126	1334.430481
127	1326.647012
128	1318.837674
129	1311.328968
130	1303.940997
131	1296.652389
132	1289.451369
133	1281.996878
134	1274.930666
135	1267.799374
136	1260.804772
137	1253.948305
138	1247.321971
139	1240.916755
140	1234.745115
141	1228.12947
142	1222.159968
143	1216.17445
144	1210.157558
145	1204.298285
146	1198.576092
147	1193.104118
148	1187.625106
149	1181.649276
150	1175.711239
151	1170.213594
152	1165.061957
153	1159.505222
154	1154.62299
155	1149.817831
156	1144.527457
157	1139.170214
158	1133.946954
159	1129.044121
160	1124.102697
161	1119.232872
162	1114.524538
163	1109.644227
164	1104.926427
165	1100.605182
166	1095.937077
167	1091.751244
168	1087.367922
169	1083.448409
170	1079.090136
171	1074.774251
172	1070.476457
173	1066.421997
174	1062.376579
175	1058.239796
176	1054.346128
177	1050.656962
178	1047.148889
179	1043.44204
180	1039.728122
181	1036.126253
182	1032.492352
183	1028.930878
184	1025.25457
185	1021.703645
186	1018.778427
187	1015.598172
188	1012.248802
189	1008.901478
190	1005.586725
191	1002.374683
192	999.0286766
193	996.3541265
194	993.4849924
195	990.5860507
196	987.6566817
197	984.8055251
198	982.0534264
199	979.244614
200	976.2616287
201	973.571508
202	971.1992321
203	968.8957632
204	966.4097743
205	963.8449388
206	961.4412475
207	959.0935558
208	956.6775395
209	954.0869626
